statistikkvariabel	age	gender	diagnosis	year	nConsultations
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2021	574111
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2022	554613
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2023	595571
Konsultasjoner	Alle aldre	Menn	Lokale smerter og betennelser	2024	618367
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2012	227028
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2013	230090
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2014	239310
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2015	247807
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2016	246933
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2017	254001
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2018	251612
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2019	256336
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2020	268888
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2021	281499
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2022	271892
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2023	294913
Konsultasjoner	Alle aldre	Menn	Ryggproblemer	2024	301090
Konsultasjoner	Alle aldre	Menn	Generelle smerter og muskelplager	2012	47384
Konsultasjoner	Alle aldre	Menn	Generelle smerter og muskelplager	2013	47140
Konsultasjoner	Alle aldre	Menn	Generelle smerter og muskelplager	2014	47143
Konsultasjoner	Alle aldre	Menn	Generelle smerter og muskelplager	2015	48058
Konsultasjoner	Alle aldre	Menn	Generelle smerter og muskelplager	2016	48784
